candidate,state,state_abbreviation,county,fips,party,votes,fraction_votes
Bernie Sanders,Alabama,AL,Autauga,1001.0,Democrat,544,0.182
Hillary Clinton,Alabama,AL,Autauga,1001.0,Democrat,2387,0.8
Bernie Sanders,Alabama,AL,Baldwin,1003.0,Democrat,2694,0.3289999999999999
Hillary Clinton,Alabama,AL,Baldwin,1003.0,Democrat,5290,0.647
Bernie Sanders,Alabama,AL,Barbour,1005.0,Democrat,222,0.078
Hillary Clinton,Alabama,AL,Barbour,1005.0,Democrat,2567,0.906
Bernie Sanders,Alabama,AL,Bibb,1007.0,Democrat,246,0.1969999999999999
Hillary Clinton,Alabama,AL,Bibb,1007.0,Democrat,942,0.755
Bernie Sanders,Alabama,AL,Blount,1009.0,Democrat,395,0.386
Hillary Clinton,Alabama,AL,Blount,1009.0,Democrat,564,0.551
Bernie Sanders,Alabama,AL,Bullock,1011.0,Democrat,178,0.066
Hillary Clinton,Alabama,AL,Bullock,1011.0,Democrat,2451,0.913
Bernie Sanders,Alabama,AL,Butler,1013.0,Democrat,156,0.065
Hillary Clinton,Alabama,AL,Butler,1013.0,Democrat,2196,0.921
Bernie Sanders,Alabama,AL,Calhoun,1015.0,Democrat,1425,0.218
Hillary Clinton,Alabama,AL,Calhoun,1015.0,Democrat,5011,0.765
Bernie Sanders,Alabama,AL,Chambers,1017.0,Democrat,312,0.095
Hillary Clinton,Alabama,AL,Chambers,1017.0,Democrat,2899,0.8859999999999999
Bernie Sanders,Alabama,AL,Cherokee,1019.0,Democrat,268,0.249
Hillary Clinton,Alabama,AL,Cherokee,1019.0,Democrat,712,0.6609999999999999
Bernie Sanders,Alabama,AL,Chilton,1021.0,Democrat,289,0.246
Hillary Clinton,Alabama,AL,Chilton,1021.0,Democrat,860,0.731
Bernie Sanders,Alabama,AL,Choctaw,1023.0,Democrat,273,0.124
Hillary Clinton,Alabama,AL,Choctaw,1023.0,Democrat,1772,0.802
Bernie Sanders,Alabama,AL,Clarke,1025.0,Democrat,213,0.063
Hillary Clinton,Alabama,AL,Clarke,1025.0,Democrat,3148,0.93
Bernie Sanders,Alabama,AL,Clay,1027.0,Democrat,135,0.1369999999999999
Hillary Clinton,Alabama,AL,Clay,1027.0,Democrat,807,0.818
Bernie Sanders,Alabama,AL,Cleburne,1029.0,Democrat,72,0.238
Hillary Clinton,Alabama,AL,Cleburne,1029.0,Democrat,221,0.732
Bernie Sanders,Alabama,AL,Coffee,1031.0,Democrat,389,0.201
Hillary Clinton,Alabama,AL,Coffee,1031.0,Democrat,1493,0.772
Bernie Sanders,Alabama,AL,Colbert,1033.0,Democrat,1342,0.225
Hillary Clinton,Alabama,AL,Colbert,1033.0,Democrat,3879,0.65
Bernie Sanders,Alabama,AL,Conecuh,1035.0,Democrat,544,0.191
Hillary Clinton,Alabama,AL,Conecuh,1035.0,Democrat,2031,0.7140000000000001
Bernie Sanders,Alabama,AL,Coosa,1037.0,Democrat,125,0.108
Hillary Clinton,Alabama,AL,Coosa,1037.0,Democrat,1012,0.877
Bernie Sanders,Alabama,AL,Covington,1039.0,Democrat,188,0.1969999999999999
Hillary Clinton,Alabama,AL,Covington,1039.0,Democrat,737,0.773
Bernie Sanders,Alabama,AL,Crenshaw,1041.0,Democrat,107,0.103
Hillary Clinton,Alabama,AL,Crenshaw,1041.0,Democrat,908,0.878
Bernie Sanders,Alabama,AL,Cullman,1043.0,Democrat,723,0.345
Hillary Clinton,Alabama,AL,Cullman,1043.0,Democrat,1275,0.608
Bernie Sanders,Alabama,AL,Dale,1045.0,Democrat,415,0.207
Hillary Clinton,Alabama,AL,Dale,1045.0,Democrat,1544,0.77
Bernie Sanders,Alabama,AL,Dallas,1047.0,Democrat,1774,0.154
Hillary Clinton,Alabama,AL,Dallas,1047.0,Democrat,8577,0.7440000000000001
